State,Num colonies,Yield Per Colony,Stocks,Price Per lb,Produce  Value,Year
Alabama,17000,68,185000,0.56,647000,1999
Arizona,52000,62,1548000,0.62,1999000,1999
Arkansas,52000,89,2592000,0.53,2453000,1999
California,465000,60,9486000,0.55,15345000,1999
Colorado,27000,76,1436000,0.68,1395000,1999
Florida,228000,102,4186000,0.53,12326000,1999
Georgia,65000,51,497000,0.64,2122000,1999
Hawaii,8000,80,32000,0.8,512000,1999
Idaho,120000,48,3110000,0.59,3398000,1999
Illinois,9000,66,327000,1.15,683000,1999
Indiana,10000,81,437000,0.9,729000,1999
Iowa,40000,65,2028000,0.65,1690000,1999
Kansas,13000,67,854000,1.11,967000,1999
Kentucky,3000,50,12000,1.24,186000,1999
Louisiana,48000,114,821000,0.49,2681000,1999
Maine,14000,22,89000,0.83,256000,1999
Maryland,6000,46,50000,1.64,453000,1999
Michigan,73000,85,3475000,0.66,4095000,1999
Minnesota,145000,NA,3210000,0.61,7253000,1999
Mississippi,18000,73,591000,0.54,710000,1999
Missouri,24000,65,437000,0.68,1061000,1999
Montana,122000,70,2135000,0.6,5124000,1999
Nebraska,58000,77,1965000,0.61,2724000,1999
Nevada,9000,45,271000,1.54,624000,1999
New Jersey,10000,44,154000,0.57,251000,1999
New Mexico,15000,52,476000,0.77,601000,1999
New York,69000,,2077000,0.66,3188000,1999
North Carolina,9000,46,104000,1.62,671000,1999
North Dakota,255000,105,8836000,0.59,15797000,1999
Ohio,20000,74,784000,0.72,1066000,1999
Oklahoma,6000,45,49000,1.34,362000,1999
Oregon,45000,57,2026000,0.8,2052000,1999
Pennsylvania,28000,60,790000,0.76,1277000,1999
South Dakota,224000,104,13046000,0.6,13978000,1999
Tennessee,8000,51,106000,1.3,530000,1999
Texas,108000,xx,2799000,0.64,5599000,1999
Utah,26000,45,433000,0.68,796000,1999
Vermont,6000,66,222000,0.63,249000,1999
Virginia,7000,35,86000,1.17,287000,1999
Washington,52000,50,1170000,0.6,1560000,1999
West Virginia,6000,39,152000,1.09,255000,1999
Wisconsin,80000,75,4560000,0.68,4080000,1999
Wyoming,37000,72,746000,0.61,1625000,1999
Alabama,16000,78,187000,0.59,736000,2000
Arizona,40000,59,1322000,0.73,1723000,2000
Arkansas,52000,93,3337000,0.57,2757000,2000
California,440000,70,11396000,0.59,18172000,2000
Colorado,29000,60,957000,0.62,1079000,2000
Florida,232000,105,2923000,0.54,13154000,2000
Georgia,55000,57,376000,0.63,1975000,2000
Hawaii,7000,112,125000,0.82,643000,2000
Idaho,100000,47,2679000,0.52,2444000,2000
Illinois,8000,61,146000,1.17,571000,2000
Indiana,8000,65,286000,1.03,536000,2000
Iowa,30000,67,1206000,0.68,1367000,2000
Kansas,15000,68,520000,0.91,928000,2000
Kentucky,4000,48,54000,1.35,259000,2000
Louisiana,43000,94,1334000,0.52,2102000,2000
Maine,11000,21,143000,0.75,173000,2000
Maryland,6000,46,52000,1.14,315000,2000
Michigan,72000,75,2970000,0.6,3240000,2000
Minnesota,150000,90,3105000,0.57,7695000,2000
Mississippi,17000,72,649000,0.69,845000,2000
Missouri,23000,75,362000,0.6,1035000,2000
Montana,124000,88,4692000,0.59,6438000,2000
Nebraska,50000,87,2610000,0.59,2567000,2000
Nevada,10000,35,95000,1.45,508000,2000
New Jersey,11000,35,200000,0.61,235000,2000
New Mexico,15000,64,739000,0.72,691000,2000
New York,58000,80,2274000,0.55,2552000,2000
North Carolina,11000,49,243000,1.43,771000,2000
North Dakota,300000,115,13800000,0.57,19665000,2000
Ohio,18000,65,585000,0.79,924000,2000
Oklahoma,7000,35,64000,1.26,309000,2000
Oregon,48000,51,1665000,0.66,1616000,2000
Pennsylvania,25000,45,630000,0.76,855000,2000
South Dakota,235000,121,12796000,0.58,16492000,2000
Tennessee,9000,61,104000,1.43,785000,2000
Texas,105000,79,2986000,0.57,4728000,2000
Utah,24000,41,462000,0.6,590000,2000
Vermont,7000,59,211000,0.68,281000,2000
Virginia,7000,42,103000,1.5,441000,2000
Washington,52000,54,1151000,0.58,1629000,2000
West Virginia,7000,54,234000,1.22,461000,2000
Wisconsin,84000,90,4385000,0.68,5141000,2000
Wyoming,39000,93,798000,0.59,2140000,2000
